name,address,description,rating,reviews__0__username,reviews__0__review,reviews__0__rating,reviews__|,reviews__|__username,reviews__|__review,reviews__|__rating,,latitude,longitute
Lola,"2000 4th Ave, Seattle, WA 98121, Near: at Virginia St","Known for their fabulous breakfasts, Lola is a crowd-pleaser for any meal. Though it's a bit of a trek from Capital Hill, Lola is absolutely worth it.","100% love it,   6 Ratings",,,,0,jasonut29,YUM,Loves it,,47.61303,-122.34008
,,,,,,,1,nlswin1,Great breakfast\nWhen coming to Seattle. This will be my favourite spot in the morning :),Loves it,,,
,,,,,,,2,tarantino,"great for breakfast\na really unique menu, a bit pricey but worth it.",Loves it,,,
,,,,,,,3,Scott,"Great Brunch Spot\nI went here on the recommendation of a friend and had a great experience. The restaurant is in the Hotel Andra and is decorated with an updated take on an old school diner, but the food is anything but diner-ish. You *must* get the ""donuts made to order"" with fresh jam and mascarpone - amazing! The eggs benedict was just so-so, but my partner's Lamb Burger was great and the garlc fried ""smashed"" potatoes were really tasty. Overall, I highly recommend this place (but skip the benedict).",Loves it,,,
Copperleaf Restaurant,"18525 36th Ave. South, Seattle, WA 98188, Near: Pacific Hwy & 188th St",The ideal venue for fresh farm-to-table local and regional bounty for lunch and dinner.,"100% love it,   2 Ratings",,,,0,11dragon28,"great experience\nVery romantic and comfortable setting. We sat near the glowing fireplace and toasted our wedding with sparkling wine. Blown glass art separate the high backed chairs and candlelite tables. The food is all local farmers, organic, and delicously presented by an entourage of professional and highly skilled wait staff. Truly a wonderful experience.",Loves it,,47.56345,-122.28687
,,,,,,,1,writeon,"Oh So Romantic!\nIntimate indoor seating maxes at around 30 diners. And the oversized stone fireplace sets the mood and tone for the most delectable of meals - every single course. If you arrive feeling romantic, this will fuel the flames. If you arrive not-so-romantic, you'll certainly get in the mood quickly!",Loves it,,,
Steamworks Seattle,"1520 Summit, Seattle, WA 98122, Near: Between Pike & Pine",,"75% love it,   63 Ratings",,,,0,herrscionpest,"I really, really, really like this place and I think you will, too.",Loves it,,47.61478,-122.32523
,,,,,,,1,PatrickFlann69,"Yes, this is the most bare-bones of all the Steamworks I've visited (all of them). But it's definitely very clean and the staff are super friendly and helpful. Weekdays can be slow, but weekends are very busy with lots of different guys. I suggest going on a CumUnion.",Loves it,,,
,,,,,,,2,Jayjo,"Not a real bath house but that&rsquo;s ok\nI wouldn&rsquo;t consider this a bath house, more like a sex club. There are no facilities like sauna or hot tub, just showers. The person checking me in told me this upfront so that&rsquo;s good. Everything is very clean and well maintained. I went there on a twink night (thursdays). The place was somewhat empty, maybe 10-15 guys walking around. It was ok. Just adjust your expectations and you&rsquo;ll be fine.",Hates it,,,
,,,,,,,3,agraue87,whit out the steam room\nThis place is really boring,Hates it,,,
,,,,,,,4,emale,worse\nDon&#039;t go there. Save your money. Nothing works besides tv. Instead close for a good renovation they keep getting money out of you pocket,Hates it,,,
,,,,,,,5,ddot950,"BOO\nI went to this Steamworks expecting something like the Steamworks in Chicago...I was sorely misinformed. There was no jacuzzi, no sauna, and the steam room wasn&#039;t working. Save you $23.",Hates it,,,
,,,,,,,6,jklewissf,Disappointing\nMy husband and I are big steamworks fans and are familiar with the clubs in Berkeley and Chicago. This club was a disappointment. There is no jacuzzi which we liked in Berkeley and really impressed with in Chicago. The place was not at all crowded for the DILF event and much heavier on the D side of things. There was a lot of unprotected fucking going on. Maybe the new drugs have changed things but Berkeley was always very proactive in making sure only safe sex took place in the public areas. We both met friendly guys and got off a couple of times but all in all it was not like the other clubs where we would stay for hours. the place was reasonably clean. Parking is a problem.,None,,,
,,,,,,,7,steam.works.73,"responding to DuckRoggers2038\nWe're sorry your visit to our Seattle club was less than optimal. True, our Chicago facility is a great bathhouse. The Seattle club is a work in progress. We have major upgrades planned for Seattle soon. Until then, we continue to be confident calling our Seattle club the best bathhouse in the area. Visit us on any Saturday night and you'll see naked men of every shape, size, color, and from all walks of life.",Loves it,,,
,,,,,,,8,DuckRoggers2038,"Worst steamworks\nHere is the positive... This place has a really great steam room. It's huge and one of the best designs. However, I went there about 5 times within two weeks while visiting Seattle... Steam room lacked steam in a bad way and didn't fill up the room. The reviews of this place are accurate. There was only small crowds and most people were not friendly. The staff was friendly though. This place has the gritty and dirty feel, which is a attraction for some. But true fully it's like Seattle itself... Dark, wet, and kinda depressing. It has great mazes and this big area with a cage...lots of places to take a dude to and you don't need a room to find privacy. It also has a couple a corners with a box with see through mirrors that was cool to watch guys play in. But it falls short with the lack of a great working steam room, very dingy appearance, and fails in comparison to steamworks Chicago. It's so far off base, that if I owned this chain I would create a new brand for Seattle steamworks and not let it tarnish my franchise any longer.",Hates it,,,
,,,,,,,9,HarleyDaddy,"Aloof Unfriendly Crowd\nWhy do you go to a Gay Bathhouse? IS it to interact with other men in a positive and friendly way? If so, then this is NOT the bath for you. This facility is ""Pretty"", and very ""high designer concept"", but it is sadly lacking in real substance. There is no ""heart"" here. A stranger will not be made to feel welcome here. The general attitude here is one of ""passive indifference"". No one will be rude to you, but no one will make any effort to talk to you or make you feel welcome.. This applies to even very young very appealing men. I cannot recommend this bath to anyone until the attitude improves considerably IN this bath, it is rare to see two men actually interacting with each other - even to engage in a simple conversation. There is a lot of ""silent brooding"" going on here.",Hates it,,,
,,,,,,,10,davedude7,"Always a fun time\nBeen coming here for years, always fun, clean facility, pleasant staff. Lots of different types go here and since I like variety I can always find someone to play with.",Loves it,,,
,,,,,,,11,Lakewoodwa1,"Suckfest limp @ Steamworks\nMy partner & I went to Steamworks Sat, Jan 12th to see what kind of activity Steamworks could put together from the advertised times of 3-6pm. The Suckfest webpage banner appeared on several of the different Steamworks locations so we thought it might be good because it was a company-wide event. Fat chance! Although we were told upon entering that there were about 35 guys there, I counted 14 different guys. You know it was bad if I had time to count! There were no organized events, no patronage and no employees present to run a program. So I guess Steamworks is like George Bush- if you call something Suckfest enough times, it will become that thing. Not only were the ment that were there by most terms overweight, Steamworks has changed all the lights to red bulbs and its even darker than before. Guess thats the strategy when you're not getting hot men into your failing business. I'll give it one star because it was warmer inside than on the street. Next time we're in the mood, we're heading to Club Z!",Hates it,,,
,,,,,,,12,Usermane,"Should be quarentined.\nThe place does resemble the advertised pics but have to say the pics have to be 20 years old. I have been to a few bath houses in my day and found this one to be less than desirable. Lots of cute tweekers but all of them with the same Seattle dispostition. (if you are not born and raised, you will know what I mean) It offers a steam room and a whole lot of steps in the dark. My experience was, to say the least, a huge disappointment. Most of the guys were old, fat and seemed to be missing a few genes. The others were young kids that seemed to tweeking. The place seemed to be very clean but the staff at the front desk were less than friendly. All in all I would say that it is definitely a place to visit if you want to catch something you will probably never get rid of.",Hates it,,,
,,,,,,,13,einherji,"fun times to be had\nI have been going to steamworks for 4 years now and while some nights can be slow it&#039;s a fantastic bathhouse. The faculties and rooms are always clean, the staff is always cheerful and there are more than a few hotties that work on Saturday night, and the crowd is very mixed so you are bound to find what your are looking for. I have rarely seen drugs used there and tweekers don&#039;t seem to congregate there.",Loves it,,,
,,,,,,,14,henry84155,have not been for 2 years now 1 2016\nsteamworks 86 ed me over 2 years ago I complained because younger guys were playing me.. I am mature always had a great time then all of a sudden the crowd became cold an found alot of men already knew each other.. I want to thank them for kicking me out I was able to put more money down ona purchase of a condo in federal way wa check your finances an consider if it is worth it henry,Hates it,,,
,,,,,,,15,justinrain,amazing place\nThis place has it all and more. Not only are there nice rooms and music but the layout of the place is just super cool. Its like a maze what with the ambient atmosphere and different sections to cruise in. Plenty of hot porn to lounge in and free wifi. They even provide nice food and beverages. It,None,,,
,,,,,,,16,johnnylusty,"I Love This Place\nNo matter when I drop in there is always someone to play with, if your aren't too picky. I really don't turn down guys based on looks or age. Some of the old guys are really passionate. They are constantly upgrading - Not as nice as Berkeley, but they are working on it.",None,,,
,,,,,,,17,mike98312,Like stepping out of GQ magazine\nFun place if you aren't old enough to go to the gay bar but realistically I see no reason to give it such a nice review. Yes the rooms are sizeable and yes they do have good service but when you think about it they are very expensive especially when you are just looking for a quick trick and not willing to roam around a little in search of some booty. I have not seen anything there that can't be found across the street for half the price especially since nothing ever happens there and the crowd is very rude. There are a lot of teases and good looking guys that turn down other good looking guys for a quick ram from a troll that you could find at a rest stop. There are a lot of lookers there it would seem that have no intention of sleeping with anyone I have seen it on many occasions they come to watch movies and chill in the steam room I mean who goes to a bathouse without putting out?,None,,,
,,,,,,,18,twowaycool,"FREEZING\nOkay, so I gave this place an iffy review before....and went back...the showers and steamroom are temperature-wise hot, the rooms clean and comfortable, the whole ambience great, good music. The men.....well, Honey, it's Seattle, not Manhatten...take that how you will. But I'll be back!",None,,,
,,,,,,,19,manassasdude91,"The only bathhouse worth visiting in Seattle\nIt is small-ish, but what it lacks in size it makes up in style. The steamroom alone is worth the price of admission. Some of the crows was clearly S&M, as in Stand and Model, and looked upon us without defined abs with the disdain you'd expect in West Hollywood. Fortunately, the place is popular and genuinely normal (if sex hungry) do show up.",None,,,
,,,,,,,20,john40s,"keeps getting better\nby far the most fun club in town. Great sound, lighting, staff, and they continue to improve it. Always something new.",None,,,
,,,,,,,21,gayengland,the best place in town\nI was here on the 17th of march and it was a great place. I was with a friend and we had the time of your life there was alot of differant kind of people so you could pick your flavor so to speak . I can't wait togo back there sometime soon,None,,,
,,,,,,,22,hotmlsbear69,"Hot times for all\nWell I got stuck in Seattle for a week for buisness and Ive been to the other two bathhouses in the capital hill area and wasnt a big fan of all the drugs going around so I thought I try Steamworks, I had been to it years ago when it was Club Seattle which was a complete dump in my opion, but they have totally overhualed the place , there was every type of guy there and a pretty good DJ not that I'm the best judge of dance music but I thought he was good. I ended hooking up with a really hot couple of guys then was able to lounge for awhile before somemore hot times. They also have free WIFI which would have been good to know I could of played then got some work done but next time I would deffinetly recomend this place to anyone visiting the Seattle area looking for a great bathhouse expirience",None,,,
,,,,,,,23,latinboy,"not good anymore\nthe staff is great but they had to clean the steamroom because has mold on the walls you can't seat or touch the walls anymore they need to work on it, I dont think want to go back anymore.",None,,,
,,,,,,,24,beachgrove,"Much better than the old days\nI haven't been here in 4 or 5 years, since the Club bath days and this is a VAST improvement. I went twice on a recent visit to Seattle and the crowd was great each time. The check in staff are pleasant, but not so much the staff in the hallways- they look like inmates on work release with their scowls! Very clean, excellent music- I Shazamed several songs between fun!",None,,,
,,,,,,,25,grif,"FREEZING COLD\nDecent enough place, nice staff but cold to uncomfortable on two visits: summer '09 and November '09. My $40.00 deluxe room in 11/09 was so cold that I had to wear clothes whenever in the room. Public areas were also cold....had to spend much more time in the showers warming up than I wanted to. Repeated requests by myself and others to warm the place up got no response. Don't know if I will return.",None,,,
,,,,,,,26,MarcDeSade,"I'm a fan of Steamworks! This place - not so much\nHaving been to all the other Steamworks, it is hard to imagine that the chain would raise their flag over this place. While this rather small bath house has a large steam room, the two other small, under-used play spaces were nothing to brag about. It seemed as if the Seattle boyz didn't know how to use a suck ramp. The video lounge had a couple of old canvas upholstered sofas that were always wet and sticky (can you say ""scabies"", ew!). A recent Saturday night wasn't especially busy but did have a good mix of ages, races, types. The biggest turn-off was the horrible, piss-riddled bathroom. Three nights in a row produced no change. They were like the toilets in a truck stop. This place has a long way to go to live up to the otherwise stellar Steamworks brand.",None,,,
,,,,,,,27,skier74,"Good mixed crowd, nice facility\nI usually go here when I'm in town and always have a pretty good time. Clientele is varied, which I like, because I don't always know what I'm in the mood for! Facility seems to have been upgraded somewhat with the re-branding. It's not huge by bathhouse standards, but plenty of places to play.",None,,,
,,,,,,,28,Eddie_GayTubs,"I went to Seattle a few years ...\nI went to Seattle a few years ago, and I didn't want to rent a hotel room, so I checked into Club Seattle. I had the time of my life there. First of all, the place was packed with hot men and the local blue collar type men. The staff there was very nice and helpful. I will definitely go back there!<br><br><i>This review was orginally posted on Bathhouseguides.com, which is now part of GayCities</i>",None,,,
H&M,"520 Pike St., Seattle, WA 98101, Near: at 5th Ave. S","One of two area locales, the Pike Place store offers a great location in the downtown area, with large mens' and womens' departments.","100% love it,   8 Ratings",,,,,,,,,,
Waterfall Garden,"219 2nd Ave S, Seattle, WA 98104, Near: S 2nd Avenue Extended & Main Street","Tucked away in Pioneer Square, the Waterfall Garden is a peaceful space of serenity within the hustle and bustle of busy Seattle. Relax, people watch and take some deep breaths.","100% love it,   1 Rating",,,,,,,,,47.60021,-122.33197
Q,"1426 Broadway, Seattle, WA 98122, Near: btwn E Pike St & E Union St","This state-of-the-art, multilevel lounge and mixed-crowd nightclub boasts an innovative interior design and the club__ own signature line of infused and flavored vodkas.","82% love it,   22 Ratings",,,,0,jeffndhs,Most will not appreciate\nI was living in Seattle when Q opened up. I really liked the place for it brought something different to Seattle. A different vibe look much more modern. Plus the have an incredible sound system and some great DJ's who know their music and know how to mix. But I knew the Seattle crowd at least the gay crowd would not get it nor understand. I love that you can dance till your hearts content and even if you dance by yourself it is not an issue. Great music best place to dance for the most up to the moment music in Seattle.,Loves it,,47.61373,-122.32035
,,,,,,,1,slimrfun,5 to 10% gay\nThe space was smaller than what I expected and the music was monotonous same beat drunk dance beat of a typical young straight bar. We enjoyed the small time circus show but really loved that it took away some straight crowd from Neighbors. We spent 15min at Q then returned to neighbors for a great night out! The gay have lost the war to have this bar!!!!,Hates it,,,
,,,,,,,2,iwonderwhy,"Really dont bother\nI understand that I should be open minded and more tolerant, but I was hoping that when I went to Q two weeks ago that I would find a gay bar with a new vibe. it was new, but the vibe was decidedly messed up. I had a hard time telling whether there were 3 or 4 or 5 batchelorette parties simultaneously taking over the bar. 30 obviously drunk patrons should never have been let in the door to cut to the front of the drink line and high heel patrons already there. I wont go back as long as the madness continues.",Hates it,,,
,,,,,,,3,brettb5,no way\nI am not up for children cutting in front of me to get their fist drink ever and the bartenders ignoring common bar etiquette.,Hates it,,,
,,,,,,,4,nwjeff,"Great Music, Good Drinks, just what Seattle needed\nI will say honestly this is the best dance club with lounges in Seattle. Q has moved the bar up in regards to dancing in Seattle. Great DJ's from all over, clear and big sound, interesting and innovative lighting. And if you are not into dancing you can always go and sit in the Bourbon lounge and I do not think they would care if you had a beer or vodka. Q reminds me more of clubs in LA or NYC which has been greatly needed in Seattle. Welcome to the neighborhood Q.",Loves it,,,
,,,,,,,5,draggingabag,"Seattles New Hot Spot\nIt is mostly 20 something straight now, and rarely busy",Hates it,,,
Seattle Gay and Lesbian Book Club at SASG,"303 17th Avenue East, seattle, WA 98112, Near: 17th Avenue and Thomas",Regular meetings where you're sure to find a cute bookworm or two.,"100% love it,   2 Ratings",swittet,"Seattle Gay and Lesbian Book Club at SASG\nThe Seattle Gay and Lesbian Book Club has been meeting at SASG on Capital Hill (previously Dunshee House) every Wednesday, 6-7:15pm, since 2009. We read one book each month and discuss that book all month. Some members come every Wednesday; some join us once or twice a month. For busy people, four opportunities means not having to worry about missing out! And spreading the discussion over a month allows us to approach topical questions in depth, for readers to dive back into the text and explore thoughts different from their own. For this month's book visit our website http://faculty.washington.edu/swittet/SGLBookClub/",Loves it,,,,,,47.62069,-122.31044
Kremwerk,"1809 Minor Ave Ste 10, Seattle, WA 98101",A queer-centric nightclub situated in a blue-tinted basement in the heart of downtown.,"100% love it,   7 Ratings",Jmjjoubert,"Queer-Centric Underground Club in Denny Triangle\nKremwerk has a unique drag show every Saturday, including a Drag Kings show on the last Saturday of every month. It is home to Queer events such as Bottom Forty, Kiss Off, and Stiffed! Has a Tea Dance Happy Hour every Sunday.",Loves it,,,,,,47.61687,-122.33118
Vivace Espresso Bar,"532 Broadway Ave, Seattle, WA 98102, Near: at E Republican St","Skip Starbucks because Vivace serves up some of the best coffee in Seattle, and is conveniently located in the heart of the gay Capitol Hill neighborhood. You're likely to find some cute coffee sippers come through if you hang around.","100% love it,   27 Ratings",,,,0,RichardsLifeCali,"Another Rave Review for Vivace!\nA neighborhood standard for locals and students. I told the baristas I was in town for just 1 day before my gay Alaska cruise and they were very helpful in suggesting restaurants, clubs, _ Creamy, perfectly prepared latte_ and try their slow roasted blend _ they take their coffee very seriously in Seattle and I quickly understood how this place has stood the test of time. And the expansive open air seating overlooking Broadway made for a perfect Saturday afternoon. If I lived in Seattle, you would see me here about every weekend.",Loves it,,47.62413,-122.3237
,,,,,,,1,tgbusse,this is Seattle in a cup\nmy favorite coffee in the world,Loves it,,,
,,,,,,,2,PlexSeattle,"The real Seattle coffee experience\nThis place has the best coffee in town, and the best baristas as well, most of whom have been there YEARS, and will recognize you no matter how long it's been since your last visit. Make this something not to miss while you're in town. Oh yeah, it's also a great place to see and be seen.",Loves it,,,
,,,,,,,3,DTracer,For serious coffee drinkers\nI went to Vivace on a recent trip to Seattle after hearing about it from some real coffee addicts. Their advice payed off - this is some of the best coffee (outside of SF of course :] ) I've ever had. And super cute guys there!,Loves it,,,
Redmond Marriott Town Center,"7401 164th Avenue NE, Redmond, WA 98052, Near: at Redmond Town Center",,"100% love it,   1 Rating",Joe_Marriott,"Modish hotel great for biz trips\nThis Redmond hotel is located within the Redmond Town Center, which offers shopping, restaurants, and other entertainment options. Has a new virtual office setup called Workspring, great for meetings.",Loves it,,,,,,47.671082,-122.121902
Americana,"219 Broadway Ave. E, Seattle, WA 98102, Near: btwn E Thomas St. & E Olive Way",At the southern end of the Capitol Hill gayborhood on Broadway you'll find the charming and stylish Americana. Great for people watching on a nice sunny day (all two weeks of them).,"100% love it,   6 Ratings",,,,0,kevinrhansenjr,I love this place. Posh upgrades to American classics and favorites. Start with a Southern Gentleman.,None,,47.62009,-122.32701
,,,,,,,1,DTracer,"Lovely\nAfter reviewing the menus up and down Broadway, we finally chose Table 219. I had the chicken sandwich with pesto and it was totally delicious, and my bf's Gorgonzola marmalade sandwich was good too (but too much marmalade). Also, the beer we ordered had waaay too much head (never thought I'd say that!) but the staff was super nice when we commented about it and filled the glass.",Loves it,,,
The Mediterranean Inn,"425 Queen Anne Ave. North, Seattle, WA 98109, Near: at W Republican","At the Mediterranean Inn, location and price add to the excellent amenities that make this a great choice for your Seattle stay.","100% love it,   2 Ratings",,,,,,,,,47.62301,-122.3571
MarQueen Hotel,"600 Queen Anne Ave N, Seattle, WA 98109, Near: at Mercer",,"100% love it,   2 Ratings",pumasalad,"nice, clean, pleasant, but old...\nOur room on the third floor is huge and includes a kitchen and a walk in closet. A local we talked to told us &quot;the gays always get the best rooms.&quot; There&#039;s no elevator, but the stairs are easy to navigate. The staff has been super helpful and friendly.",Loves it,,,,,,47.625,-122.35628
Sorrento Hotel,"900 Madison St, Seattle, WA 98104, Near: at Terry St.",,"100% love it,   1 Rating",,,,,,,,,47.60898,-122.326721
Pike Place Public Market,"85 Pike St., Seattle, WA 98101, Near: at Pine St.","From crafts to plenty of food and produce, Pike Place is home to plenty of locals and tourists alike.","99% love it,   99 Ratings",,,,0,coastguy61,Love the vibe and good food. Pikes Place Brewery great place to visit and try the Naughty Nellie.,Loves it,,47.60946,-122.34106
,,,,,,,1,henry84155,have a lot of history\nI have italian history that dates back to 1917 and far as I ma concerned the pike place market is a tourist trap and the prices for a lot of stuff outrageous..when I was growing up the truckfarmers sold there crops .. then had some wine and went home.. now it is justa lot of shops,Hates it,,,
Scream Barbershop,"819 E Thomas St, Seattle, WA 98102, Near: Broadway","This spunky, open barbershop will give you a no-frills attitude and spruce up your do for a memorable new look.","100% love it,   2 Ratings",,,,,,,,,47.62095,-122.32167
24 Hour Fitness,"1827 Yale Ave, Seattle, WA 98101, Near: at Stewart St",One of the trusted brand's handful of Seattle-area locations. This sport location serves as the most central to downtown.,What do you think of this place? Love it or not?,,,,,,,,,47.617802,-122.330223
SubSeattle Tour,"608 First Ave., Seattle, WA 98104, Near: Cherry Street","SubSeattle is a rollicking, 90-minute bus ride through out-of-sight city neighborhoods, peppered with irreverent humor. Recommended for 18 years+. March-November.",What do you think of this place? Love it or not?,,,,,,,,,47.60257,-122.33426
Pan Pacific Seattle,"2125 Terry Ave, Seattle, WA 98121, Near: Denny Way",,"100% love it,   1 Rating",whizkid,"always enjoyable\nI like the hotel... Not to expensive, pretentious or anything like that.",Loves it,,,,,,47.618259,-122.337402
Seattle Eagle,"314 E Pike St, Seattle, WA 98122, Near: Melrose",It's all about the music and the men at this butch destination.,"94% love it,   143 Ratings",,,,0,Lanceisgay,This place is gay heaven\nI loved everything about this place,Loves it,,47.61432,-122.32716
,,,,,,,1,jasonut29,Fun,Loves it,,,
,,,,,,,2,LubeGuy2010,A definate hit!\nI always stop here when in Seattle!,Loves it,,,
,,,,,,,3,braddallas,I'm scared. Think Omar is here?,None,,,
,,,,,,,4,davedude7,"Cruisey and no attitude\nI like to visit Eagles in other cities but my hometown Eagle is probably my favorite. With the Amsterdam Eagle a close 2nd. Never find any attitude here. Bartenders are nice, patrons are fun, and I love the cruisey atmosphere. Good drinks and music!",Loves it,,,
,,,,,,,5,m4mORALguy,"The Best in this PC City for Raw Sexual Energy\nMost of the bars have some sort of drugged or boozed up energy late in the evening, often it's not too appealing. But The Eagle knows it has a target market in mind and provides the perfect venue for their clients. I am into oral cock worship and The Eagle is always a fertile field for oral tops who know what they want from their cocksucker. My kinda place!",Loves it,,,
,,,,,,,6,stevig,Down to earth bar\nWe always go to The Seattle Eagle when we are in Seattle. It's usually a Friday or Saturday night. We have always found the coat check and bar staff friendly. Always a good vibe in the bar. Not always too busy. Music great and nice to be able to wear chaps out at the bar.,Loves it,,,
,,,,,,,7,jernben,"Pathetic\nThis Eagle is run by Bear Mary's and their fag hags... they are petrified anyone might become sexual in the bar. No balls when it comes to fighting Seattle's anti gay attitude toward gay bars but ok to have titty bars. Yet they play porn on a big screen all the time. Now, if you're into Mary's and want to play...I am sure these Mary's will sneak u into their closet.",Hates it,,,
,,,,,,,8,henry8415,was dead\nbartender was nice only 4 people in the bar all night the bartender said very quiet during the week but I od not live in seattle I find the eagle and the men there much friendlier than any other bar in seattle henry,Hates it,,,
,,,,,,,9,seaguy,"disappointing\nWent here on a Saturday and it looked dead from the door. Doorman said everyone was upstairs and charged me $5. Stupid me, the entire place was dead. I don&#039;t appreciate being lied to and I hope they enjoy the last $5 I&#039;ll ever spend there.",Hates it,,,
,,,,,,,10,jimmy29621,"WOOF\nI had a wonderful time with some of the locals I met while there. So many HOT men! If you like MEN, you will like the Seattle Eagle!",Loves it,,,
,,,,,,,11,blondofborg,"Great low-key bar\nA lot tamer than its namesakes in other cities, but if you're looking for somewhere to come relax with a decent drink and chat to some nice guys, Eagle could be your place.",Loves it,,,
,,,,,,,12,mike98312,Good place if you like the grundge scene\nI admit I don't like it because it seems small and like a place where people go missing. The drinks are weak and expensive and they don't usually have much of a crowd outside of weekends. I have to admit though that a lot of my straight friends go there and like it because of the shady atmosphere and the close proximity to Club Z which is where they go after they get loaded at the eagle.,Hates it,,,
,,,,,,,13,danner,Theme nights\nFirst,Loves it,,,
,,,,,,,14,jim98122x,"a bit of a dump....\n...that's really got no business ever charging a cover (though they do on weekends). Recently made a bit nicer by addition of a dance floor. Easy walk from downtown for visitors. Bartenders are nice, crowd is attitude-free. But drinks are ridiculously expensive and lousy-- Could this be why everyone shows up late after drinking at CC's or The Cuff? Hey owner-- buy a clue: if your drinks were reasonable, people would come before midnight.",Hates it,,,
,,,,,,,15,MATT,"HANKSTER\nI just saw the Eagle Dj's spin at Folsom St Fair in SF They added the ROCK to the usually tame Dance and Drag Queen Epic, I am a total fan of this Bar. so what if they aren't playing to the Hardy Drinkers, their bartenders are HOTT",None,,,
